Nom,Points de vie,Attaque
Ecayon,49,49
Tiplouf,53,51
Carabaffe,59,63
Prinplouf,64,66
Gobou,50,70
Gamblast,71,73
Mateloutre,75,75
Tarpaud,90,75
Crocrodil,65,80
Phione,80,80
Rosabyss,55,84
Bargantua,70,92
Poissoroy,80,92
Clamiral,95,100
Octillery,75,105
Aligatueur,85,105
Nucleos,45,30
Deoxys,50,70
Deoxys,50,95
Deoxys,50,150
Deoxys,50,180
Spoink,60,25
Mesmerella,60,45
Siderella,70,55
Eoko,75,50
Crefadet,75,125
Munna,76,25
Groret,80,45
Okeoke,95,23
Mew,100,100
Mewtwo,106,110
Mewtwo,106,150
Mewtwo,106,190
Symbios,110,65
